Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L12,%750,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.0/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L13,%754,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.0/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L14,%757,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.0/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L15,%761:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.1/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L16,%762,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.1/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L17,%766,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.1/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L18,%770,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.1/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L19,%776,SimplifiedLayerNormalization,1,2048,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.1/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L20,%777,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.1/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L21,%782:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.1/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L22,%783,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.1/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L23,%787:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.1/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L24,%788,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.1/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L25,%792,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.1/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L26,%796,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.1/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L27,%799,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.1/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L28,%803:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.2/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L29,%804,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.2/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L30,%808,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.2/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L31,%812,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.2/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L32,%818,SimplifiedLayerNormalization,1,2048,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.2/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L33,%819,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.2/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L34,%824:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.2/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L35,%825,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.2/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L36,%829:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.2/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L37,%830,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.2/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L38,%834,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.2/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L39,%838,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.2/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L40,%841,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.2/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L41,%845:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.3/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L42,%846,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.3/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L43,%850,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.3/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L44,%854,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.3/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L45,%860,SimplifiedLayerNormalization,1,2048,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.3/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L46,%861,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.3/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L47,%866:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.3/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L48,%867,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.3/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L49,%871:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.3/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L50,%872,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.3/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L51,%876,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.3/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L52,%880,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.3/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L53,%883,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.3/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L54,%887:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.4/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L55,%888,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.4/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L56,%892,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.4/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L57,%896,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.4/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L58,%902,SimplifiedLayerNormalization,1,2048,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.4/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L59,%903,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.4/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L60,%908:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.4/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L61,%909,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.4/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L62,%913:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.4/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L63,%914,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.4/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L64,%918,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.4/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L65,%922,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.4/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L66,%925,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.4/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L67,%929:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.5/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L68,%930,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.5/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L69,%934,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.5/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L70,%938,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.5/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L71,%944,SimplifiedLayerNormalization,1,2048,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.5/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L72,%945,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.5/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L73,%950:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.5/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L74,%951,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.5/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L75,%955:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.5/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L76,%956,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.5/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L77,%960,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.5/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L78,%964,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.5/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L79,%967,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.5/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L80,%971:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.6/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L81,%972,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.6/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L82,%976,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.6/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L83,%980,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.6/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L84,%986,SimplifiedLayerNormalization,1,2048,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.6/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L85,%987,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.6/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L86,%992:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.6/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L87,%993,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.6/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L88,%997:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.6/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L89,%998,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.6/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L90,%1002,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.6/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L91,%1006,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.6/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L92,%1009,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.6/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L93,%1013:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.7/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L94,%1014,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.7/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L95,%1018,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.7/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L96,%1022,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.7/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L97,%1028,SimplifiedLayerNormalization,1,2048,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.7/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L98,%1029,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.7/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L99,%1034:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.7/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L100,%1035,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.7/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L101,%1039:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.7/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L102,%1040,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.7/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L103,%1044,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.7/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L104,%1048,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.7/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L105,%1051,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.7/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L106,%1055:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.8/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L107,%1056,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.8/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L108,%1060,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.8/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L109,%1064,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.8/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L110,%1070,SimplifiedLayerNormalization,1,2048,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.8/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L111,%1071,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.8/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L112,%1076:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.8/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L113,%1077,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.8/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L114,%1081:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.8/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L115,%1082,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.8/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L116,%1086,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.8/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L117,%1090,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.8/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L118,%1093,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.8/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L119,%1097:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.9/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L120,%1098,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.9/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L121,%1102,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.9/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L122,%1106,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.9/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L123,%1112,SimplifiedLayerNormalization,1,2048,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.9/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L124,%1113,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.9/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L125,%1118:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.9/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L126,%1119,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.9/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L127,%1123:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.9/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L128,%1124,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.9/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L129,%1128,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.9/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L130,%1132,Sigmoid,1,128,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.9/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
L131,%1135,MatMulInteger,1,128,3072,NA,3072,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.9/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L132,%1139:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.10/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L133,%1140,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.10/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L134,%1144,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.10/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
