Layer ID,Type,Function,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,Parallel,A,B,C
L61,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L64,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L66,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L69,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L70,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L73,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L74,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L77,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L79,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L82,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L83,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L86,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L87,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L90,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L92,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L95,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L96,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L99,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L100,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L103,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L105,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L108,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L109,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L112,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L113,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L116,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L118,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L121,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L122,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L125,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L126,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L129,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L131,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L134,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L135,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L138,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L139,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L142,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L144,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L147,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L148,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L151,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L152,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L155,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L157,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L160,MatMul,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
