Chiplet ID,Tile ID,HW Type,NoC Position,AI Layer,NodeName
C3,T2,CPU,"1,0","['L49', 'L52', 'L54', 'L58', 'L59', 'L62', 'L65', 'L67']","['SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm']"
C3,T4,Mem Tile,"2,1","['L47', 'L48', 'L50', 'L51', 'L53', 'L55', 'L56', 'L57', 'L60', 'L61', 'L63', 'L64', 'L66', 'L68', 'L69']",['Weight']
C3,T5,Mem Tile,"1,1","['L47', 'L48', 'L49', 'L50', 'L51', 'L52', 'L53', 'L54', 'L55', 'L56', 'L57', 'L58', 'L59', 'L60', 'L61', 'L62', 'L63', 'L64', 'L65', 'L66', 'L67', 'L68', 'L69']",['Output']
C4,T1,SA,"0,0","['L70', 'L73', 'L74', 'L76', 'L77', 'L79', 'L81', 'L82', 'L83', 'L86', 'L87', 'L89', 'L90', 'L92']","['MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C4,T2,CPU,"1,0","['L71', 'L72', 'L75', 'L78', 'L80', 'L84', 'L85', 'L88', 'L91']","['SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid']"
C4,T4,Mem Tile,"2,1","['L70', 'L73', 'L74', 'L76', 'L77', 'L79', 'L81', 'L82', 'L83', 'L86', 'L87', 'L89', 'L90', 'L92']",['Weight']
C4,T5,Mem Tile,"1,1","['L70', 'L71', 'L72', 'L73', 'L74', 'L75', 'L76', 'L77', 'L78', 'L79', 'L80', 'L81', 'L82', 'L83', 'L84', 'L85', 'L86', 'L87', 'L88', 'L89', 'L90', 'L91', 'L92']",['Output']
C5,T1,SA,"0,0","['L94', 'L95', 'L96', 'L99', 'L100', 'L102', 'L103', 'L105', 'L107', 'L108', 'L109', 'L112', 'L113', 'L115']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger']"
C5,T2,CPU,"1,0","['L93', 'L97', 'L98', 'L101', 'L104', 'L106', 'L110', 'L111', 'L114']","['SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm']"
C5,T4,Mem Tile,"2,1","['L94', 'L95', 'L96', 'L99', 'L100', 'L102', 'L103', 'L105', 'L107', 'L108', 'L109', 'L112', 'L113', 'L115']",['Weight']
C5,T5,Mem Tile,"1,1","['L93', 'L94', 'L95', 'L96', 'L97', 'L98', 'L99', 'L100', 'L101', 'L102', 'L103', 'L104', 'L105', 'L106', 'L107', 'L108', 'L109', 'L110', 'L111', 'L112', 'L113', 'L114', 'L115']",['Output']
C6,T1,SA,"0,0","['L116', 'L118', 'L120', 'L121', 'L122', 'L125', 'L126', 'L128', 'L129', 'L131', 'L133', 'L134', 'L135', 'L138']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention']"
C6,T2,CPU,"1,0","['L117', 'L119', 'L123', 'L124', 'L127', 'L130', 'L132', 'L136', 'L137']","['Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization']"
C6,T4,Mem Tile,"2,1","['L116', 'L118', 'L120', 'L121', 'L122', 'L125', 'L126', 'L128', 'L129', 'L131', 'L133', 'L134', 'L135', 'L138']",['Weight']
C6,T5,Mem Tile,"1,1","['L116', 'L117', 'L118', 'L119', 'L120', 'L121', 'L122', 'L123', 'L124', 'L125', 'L126', 'L127', 'L128', 'L129', 'L130', 'L131', 'L132', 'L133', 'L134', 'L135', 'L136', 'L137', 'L138']",['Output']
C7,T1,SA,"0,0","['L139', 'L141', 'L142', 'L144', 'L146', 'L147', 'L148', 'L151', 'L152', 'L154', 'L155', 'L157', 'L159', 'L160', 'L161']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C7,T2,CPU,"1,0","['L140', 'L143', 'L145', 'L149', 'L150', 'L153', 'L156', 'L158']","['SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm']"
C7,T4,Mem Tile,"2,1","['L139', 'L141', 'L142', 'L144', 'L146', 'L147', 'L148', 'L151', 'L152', 'L154', 'L155', 'L157', 'L159', 'L160', 'L161']",['Weight']
C7,T5,Mem Tile,"1,1","['L139', 'L140', 'L141', 'L142', 'L143', 'L144', 'L145', 'L146', 'L147', 'L148', 'L149', 'L150', 'L151', 'L152', 'L153', 'L154', 'L155', 'L156', 'L157', 'L158', 'L159', 'L160', 'L161']",['Output']
C8,T1,SA,"0,0","['L164', 'L165', 'L167', 'L168', 'L170', 'L172', 'L173', 'L174', 'L177', 'L178', 'L180', 'L181', 'L183']","['GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C8,T2,CPU,"1,0","['L162', 'L163', 'L166', 'L169', 'L171', 'L175', 'L176', 'L179', 'L182', 'L184']","['SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm']"
C8,T4,Mem Tile,"2,1","['L164', 'L165', 'L167', 'L168', 'L170', 'L172', 'L173', 'L174', 'L177', 'L178', 'L180', 'L181', 'L183']",['Weight']
C8,T5,Mem Tile,"1,1","['L162', 'L163', 'L164', 'L165', 'L166', 'L167', 'L168', 'L169', 'L170', 'L171', 'L172', 'L173', 'L174', 'L175', 'L176', 'L177', 'L178', 'L179', 'L180', 'L181', 'L182', 'L183', 'L184']",['Output']
C9,T1,SA,"0,0","['L185', 'L186', 'L187', 'L190', 'L191', 'L193', 'L194', 'L196', 'L198', 'L199', 'L200', 'L203', 'L204', 'L206', 'L207']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C9,T2,CPU,"1,0","['L188', 'L189', 'L192', 'L195', 'L197', 'L201', 'L202', 'L205']","['SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm']"
C9,T4,Mem Tile,"2,1","['L185', 'L186', 'L187', 'L190', 'L191', 'L193', 'L194', 'L196', 'L198', 'L199', 'L200', 'L203', 'L204', 'L206', 'L207']",['Weight']
C9,T5,Mem Tile,"1,1","['L185', 'L186', 'L187', 'L188', 'L189', 'L190', 'L191', 'L192', 'L193', 'L194', 'L195', 'L196', 'L197', 'L198', 'L199', 'L200', 'L201', 'L202', 'L203', 'L204', 'L205', 'L206', 'L207']",['Output']
C10,T1,SA,"0,0","['L209', 'L211', 'L212', 'L213', 'L216', 'L217', 'L219', 'L220', 'L222', 'L224', 'L225', 'L226', 'L229', 'L230']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger']"
C10,T2,CPU,"1,0","['L208', 'L210', 'L214', 'L215', 'L218', 'L221', 'L223', 'L227', 'L228']","['Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization']"
C10,T4,Mem Tile,"2,1","['L209', 'L211', 'L212', 'L213', 'L216', 'L217', 'L219', 'L220', 'L222', 'L224', 'L225', 'L226', 'L229', 'L230']",['Weight']
C10,T5,Mem Tile,"1,1","['L208', 'L209', 'L210', 'L211', 'L212', 'L213', 'L214', 'L215', 'L216', 'L217', 'L218', 'L219', 'L220', 'L221', 'L222', 'L223', 'L224', 'L225', 'L226', 'L227', 'L228', 'L229', 'L230']",['Output']
C11,T1,SA,"0,0","['L232', 'L233', 'L235', 'L237', 'L238', 'L239', 'L242', 'L243', 'L245', 'L246', 'L248', 'L250', 'L251', 'L252']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C11,T2,CPU,"1,0","['L231', 'L234', 'L236', 'L240', 'L241', 'L244', 'L247', 'L249', 'L253']","['SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization']"
C11,T4,Mem Tile,"2,1","['L232', 'L233', 'L235', 'L237', 'L238', 'L239', 'L242', 'L243', 'L245', 'L246', 'L248', 'L250', 'L251', 'L252']",['Weight']
C11,T5,Mem Tile,"1,1","['L231', 'L232', 'L233', 'L234', 'L235', 'L236', 'L237', 'L238', 'L239', 'L240', 'L241', 'L242', 'L243', 'L244', 'L245', 'L246', 'L247', 'L248', 'L249', 'L250', 'L251', 'L252', 'L253']",['Output']
C12,T1,SA,"0,0","['L255', 'L256', 'L258', 'L259', 'L261', 'L263', 'L264', 'L265', 'L268', 'L269', 'L271', 'L272', 'L274', 'L276']","['GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C12,T2,CPU,"1,0","['L254', 'L257', 'L260', 'L262', 'L266', 'L267', 'L270', 'L273', 'L275']","['SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm']"
C12,T4,Mem Tile,"2,1","['L255', 'L256', 'L258', 'L259', 'L261', 'L263', 'L264', 'L265', 'L268', 'L269', 'L271', 'L272', 'L274', 'L276']",['Weight']
C12,T5,Mem Tile,"1,1","['L254', 'L255', 'L256', 'L257', 'L258', 'L259', 'L260', 'L261', 'L262', 'L263', 'L264', 'L265', 'L266', 'L267', 'L268', 'L269', 'L270', 'L271', 'L272', 'L273', 'L274', 'L275', 'L276']",['Output']
C13,T1,SA,"0,0","['L277', 'L278', 'L281', 'L282', 'L284', 'L285', 'L287', 'L289', 'L290', 'L291', 'L294', 'L295', 'L297', 'L298']","['MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C13,T2,CPU,"1,0","['L279', 'L280', 'L283', 'L286', 'L288', 'L292', 'L293', 'L296', 'L299']","['SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid']"
C13,T4,Mem Tile,"2,1","['L277', 'L278', 'L281', 'L282', 'L284', 'L285', 'L287', 'L289', 'L290', 'L291', 'L294', 'L295', 'L297', 'L298']",['Weight']
C13,T5,Mem Tile,"1,1","['L277', 'L278', 'L279', 'L280', 'L281', 'L282', 'L283', 'L284', 'L285', 'L286', 'L287', 'L288', 'L289', 'L290', 'L291', 'L292', 'L293', 'L294', 'L295', 'L296', 'L297', 'L298', 'L299']",['Output']
C14,T1,SA,"0,0","['L300', 'L302', 'L303', 'L304', 'L307', 'L308', 'L310', 'L311', 'L313', 'L315', 'L316', 'L317', 'L320', 'L321']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger']"
C14,T2,CPU,"1,0","['L301', 'L305', 'L306', 'L309', 'L312', 'L314', 'L318', 'L319', 'L322']","['SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm']"
C14,T4,Mem Tile,"2,1","['L300', 'L302', 'L303', 'L304', 'L307', 'L308', 'L310', 'L311', 'L313', 'L315', 'L316', 'L317', 'L320', 'L321']",['Weight']
C14,T5,Mem Tile,"1,1","['L300', 'L301', 'L302', 'L303', 'L304', 'L305', 'L306', 'L307', 'L308', 'L309', 'L310', 'L311', 'L312', 'L313', 'L314', 'L315', 'L316', 'L317', 'L318', 'L319', 'L320', 'L321', 'L322']",['Output']
C15,T1,SA,"0,0","['L323', 'L324', 'L326', 'L328', 'L329', 'L330', 'L333', 'L334', 'L336', 'L337', 'L339', 'L341', 'L342', 'L343']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C15,T2,CPU,"1,0","['L325', 'L327', 'L331', 'L332', 'L335', 'L338', 'L340', 'L344', 'L345']","['Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization']"
C15,T4,Mem Tile,"2,1","['L323', 'L324', 'L326', 'L328', 'L329', 'L330', 'L333', 'L334', 'L336', 'L337', 'L339', 'L341', 'L342', 'L343']",['Weight']
C15,T5,Mem Tile,"1,1","['L323', 'L324', 'L325', 'L326', 'L327', 'L328', 'L329', 'L330', 'L331', 'L332', 'L333', 'L334', 'L335', 'L336', 'L337', 'L338', 'L339', 'L340', 'L341', 'L342', 'L343', 'L344', 'L345']",['Output']
C16,T1,SA,"0,0","['L346', 'L347', 'L349', 'L350', 'L352', 'L354', 'L355', 'L356', 'L359', 'L360', 'L362', 'L363', 'L365', 'L367']","['GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMul']"
C16,T2,CPU,"1,0","['L348', 'L351', 'L353', 'L357', 'L358', 'L361', 'L364', 'L366']","['SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm']"
C16,T4,Mem Tile,"2,1","['L346', 'L347', 'L349', 'L350', 'L352', 'L354', 'L355', 'L356', 'L359', 'L360', 'L362', 'L363', 'L365', 'L367']",['Weight']
C16,T5,Mem Tile,"1,1","['L346', 'L347', 'L348', 'L349', 'L350', 'L351', 'L352', 'L353', 'L354', 'L355', 'L356', 'L357', 'L358', 'L359', 'L360', 'L361', 'L362', 'L363', 'L364', 'L365', 'L366', 'L367']",['Output']
