Layer ID,Type,Function,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,Parallel,A,B,C
L77,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L79,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L81,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L82,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L83,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L86,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L87,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L89,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L90,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L92,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L94,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L95,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L96,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L99,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L100,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L102,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L103,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L105,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L107,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L108,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L109,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L112,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L113,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L115,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L116,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L118,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L120,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L121,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L122,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L125,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L126,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L128,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L129,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L131,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L133,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L134,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L135,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L138,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L139,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L141,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L142,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L144,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L146,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L147,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L148,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L151,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L152,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L154,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L155,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L157,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L159,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L160,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L161,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L164,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L165,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L167,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L168,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L170,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L172,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L173,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L174,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L177,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L178,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L180,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L181,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L183,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L185,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L186,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L187,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L190,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L191,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L193,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L194,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L196,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L198,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L199,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L200,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L203,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L204,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L206,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L207,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L209,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L211,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L212,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L213,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L216,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L217,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L219,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L220,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L222,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L224,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L225,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L226,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L229,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L230,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L232,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L233,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L235,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L237,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L238,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L239,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L242,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L243,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L245,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L246,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L248,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L250,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L251,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L252,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L255,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L256,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L258,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L259,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L261,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L263,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L264,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L265,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L268,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L269,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L271,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L272,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L274,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L276,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L277,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L278,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L281,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L282,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L284,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L285,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L287,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L289,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L290,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L291,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L294,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L295,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L297,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L298,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L300,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L302,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L303,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L304,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L307,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L308,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L310,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L311,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L313,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L315,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L316,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L317,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L320,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L321,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L323,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L324,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L326,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L328,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L329,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
